id_client,wilaya,type_client,favorite_category,favorite_payment,total_orders,total_spent,average_order,total_quantity,average_quantity_per_order,days_since_last_order,Retention Score,Retention Level,Recommended Strategy
CLT_00016,Alger,B2C,Électricité,Paiement à la livraison,2,21439.989999999998,10719.994999999999,5.0,2.5,,0.14905651836135383,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00017,Oran,B2C,Électricité,Paiement à la livraison,3,13184.02,4394.673333333333,30.0,10.0,,0.12320411167210377,Low,Promote bundles or complementary products to increase basket size.
CLT_00018,Sétif,B2C,Non catégorisé,Paiement à la livraison,1,2388.81,2388.81,1.0,1.0,513.0,0.097010236045586,Low,Launch a win-back campaign with personalized promotions.
CLT_00019,Alger,B2C,Non catégorisé,Paiement à la livraison,3,42228.07,14076.023333333333,4.0,1.3333333333333333,,0.2140414145076647,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00020,Annaba,B2C,Électricité,Paiement à la livraison,1,1791.6,1791.6,1.0,1.0,,0.11024807465266442,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00021,Guelma,B2C,Sanitaire,CIB / EDAHABIA,1,25912.16,25912.16,1.0,1.0,513.0,0.0646607160072074,Low,Launch a win-back campaign with personalized promotions.
CLT_00022,Boumerdès,B2C,Électricité,Paiement à la livraison,4,40516.7,10129.175,4.0,1.0,,0.1474062970363521,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00023,Sétif,B2C,Électricité,Cash on delivery,1,6473.48,6473.48,1.0,1.0,,0.07724498124461603,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00024,Blida,B2C,Sanitaire,Paiement à la livraison,1,738.52,738.52,1.0,1.0,482.0,0.07706114879494945,Low,Launch a win-back campaign with personalized promotions.
CLT_00025,Blida,B2C,Électricité,Paiement à la livraison,13,40012.5,3077.8846153846152,78.0,6.0,881.0,0.23011935809880227,Low,Launch a win-back campaign with personalized promotions.
CLT_00026,Souk Ahras,B2C,Sanitaire,Paiement à la livraison,6,63016.15,10502.691666666668,7.0,1.1666666666666667,,0.1746927538157852,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00027,Sétif,B2C,Non catégorisé,Paiement à la livraison,1,119440.3,119440.3,1.0,1.0,1124.0,0.02530087929312331,Low,Launch a win-back campaign with personalized promotions.
CLT_00028,Alger,B2C,Sanitaire,Paiement à la livraison,1,682.91,682.91,1.0,1.0,,0.12227108840428165,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00029,Oran,B2C,Pièces de rechange pour S.A.V.,Paiement à la livraison,1,4514.11,4514.11,1.0,1.0,764.0,0.14737730650271835,Low,Launch a win-back campaign with personalized promotions.
CLT_00030,Tébessa,B2C,Sanitaire,Paiement à la livraison,1,119440.3,119440.3,1.0,1.0,670.0,0.023620899935629203,Low,Launch a win-back campaign with personalized promotions.
CLT_00031,Skikda,B2C,Sanitaire,CIB / EDAHABIA,2,10427.41,5213.705,2.0,1.0,,0.06516280950217322,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00032,Constantine,B2C,Sanitaire,Paiement à la livraison,2,30078.899999999998,15039.449999999999,7.0,3.5,,0.09113519520513695,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00033,Aïn Témouchent,B2C,Électricité,Paiement à la livraison,1,1884.6,1884.6,3.0,3.0,1059.0,0.09686009345196717,Low,Launch a win-back campaign with personalized promotions.
CLT_00034,M'Sila,B2C,Pièces de rechange pour S.A.V.,Paiement à la livraison,32,224500.33,7015.6353125,94.0,2.9375,970.0,0.9381068294798902,High,Maintain loyalty through VIP rewards and exclusive offers.
CLT_00035,Tlemcen,B2C,Sanitaire,Paiement à la livraison,21,136590.46,6504.307619047619,74.0,3.5238095238095237,154.0,0.6642621516074193,Medium,Send personalized recommendations based on the customer's preferred category.
CLT_00036,Relizane,B2C,Électricité,Paiement à la livraison,11,15481.66,1407.4236363636364,68.0,6.181818181818182,,0.20252736550126224,Low,Promote bundles or complementary products to increase basket size.
CLT_00037,Batna,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,889.0,0.06129227997004321,Low,Launch a win-back campaign with personalized promotions.
CLT_00038,Souk Ahras,B2C,Électricité,Paiement à la livraison,2,3218.5,1609.25,18.0,9.0,,0.10245546501887122,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00039,Relizane,B2C,Sanitaire,Paiement à la livraison,1,5724.93,5724.93,1.0,1.0,1068.0,0.07422541023126795,Low,Launch a win-back campaign with personalized promotions.
CLT_00040,Biskra,B2C,Sanitaire,Paiement à la livraison,1,10904.63,10904.63,2.0,2.0,,0.08511184317264443,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00041,Alger,B2C,Sanitaire,Paiement à la livraison,1,22338.07,22338.07,1.0,1.0,,0.09874107268631456,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00042,Constantine,B2C,Électricité,Paiement à la livraison,1,3000.6,3000.6,1.0,1.0,,0.09780330177964083,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00043,Béjaïa,B2C,Sanitaire,Paiement à la livraison,1,29176.26,29176.26,1.0,1.0,,0.062379022767467845,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00044,El Tarf,B2C,Sanitaire,Paiement à la livraison,2,55617.24,27808.62,2.0,1.0,574.0,0.0951835556544734,Low,Launch a win-back campaign with personalized promotions.
CLT_00045,Alger,B2C,Pièces de rechange pour S.A.V.,Paiement à la livraison,4,35649.74,8912.435,12.0,3.0,96.0,0.2920384923478306,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00046,Oran,B2C,Sanitaire,Paiement à la livraison,8,33675.79,4209.47375,12.0,1.5,636.0,0.1909344341573019,Low,Launch a win-back campaign with personalized promotions.
CLT_00047,Tizi Ouzou,B2C,Sanitaire,Paiement à la livraison,1,106675.69,106675.69,1.0,1.0,,0.030988091805227422,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00048,Mila,B2C,Sanitaire,Paiement à la livraison,1,12513.88,12513.88,3.0,3.0,,0.08189451216764637,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00049,Mostaganem,B2C,Électricité,Paiement à la livraison,1,1477.05,1477.05,1.0,1.0,215.0,0.12979306757826833,Low,Launch a win-back campaign with personalized promotions.
CLT_00050,Mostaganem,B2C,Sanitaire,Paiement à la livraison,1,7088.92,7088.92,1.0,1.0,1.0,0.11078778512221574,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00051,Alger,B2C,Électricité,Paiement à la livraison,2,13136.609999999999,6568.304999999999,4.0,2.0,880.0,0.14272556821019458,Low,Launch a win-back campaign with personalized promotions.
CLT_00052,Saïda,B2C,Sanitaire,Paiement à la livraison,1,29176.26,29176.26,1.0,1.0,,0.06553429464726479,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00053,Boumerdès,B2C,Sanitaire,Paiement à la livraison,1,92999.32,92999.32,1.0,1.0,451.0,0.033652330539191325,Low,Launch a win-back campaign with personalized promotions.
CLT_00054,Oran,B2C,Électricité,Paiement à la livraison,1,11579.33,11579.33,10.0,10.0,390.0,0.0982064136030183,Low,Launch a win-back campaign with personalized promotions.
CLT_00055,Tizi Ouzou,B2C,Électricité,CIB / EDAHABIA,7,188718.29,26959.755714285715,7.0,1.0,,0.3335454165436733,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00056,Batna,B2C,Sanitaire,Paiement à la livraison,37,130472.59,3526.286216216216,140.0,3.7837837837837838,,0.8362617251704175,High,Maintain loyalty through VIP rewards and exclusive offers.
CLT_00057,Saïda,B2C,Électricité,CIB / EDAHABIA,3,1518.9900000000002,506.3300000000001,3.0,1.0,335.0,0.08942578675420533,Low,Launch a win-back campaign with personalized promotions.
CLT_00058,Aïn Témouchent,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.07155402593513102,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00059,Blida,B2C,Sanitaire,Paiement à la livraison,1,117616.78,117616.78,1.0,1.0,,0.021895537051450014,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00060,Constantine,B2C,Pièces de rechange pour S.A.V.,Paiement à la livraison,1,925.43,925.43,1.0,1.0,491.0,0.1475333597082089,Low,Launch a win-back campaign with personalized promotions.
CLT_00061,Alger,B2C,Électricité,CIB / EDAHABIA,3,326.14,108.71333333333332,3.0,1.0,453.0,0.12160933620960462,Low,Launch a win-back campaign with personalized promotions.
CLT_00062,Touggourt,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.06379651402235548,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00063,Alger,B2C,Électricité,Paiement à la livraison,1,2061.48,2061.48,7.0,7.0,819.0,0.13073514209089931,Low,Launch a win-back campaign with personalized promotions.
CLT_00064,Tlemcen,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.07895763603731937,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00065,Mila,B2C,Pièces de rechange pour S.A.V.,Paiement à la livraison,4,13542.34,3385.585,5.0,1.25,,0.20241476287802923,Low,Promote bundles or complementary products to increase basket size.
CLT_00066,Mascara,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.07009190332230886,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00067,Tlemcen,B2C,Électricité,Paiement à la livraison,2,3296.0099999999998,1648.0049999999999,9.0,4.5,,0.12556661721885162,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00068,Alger,B2C,Électricité,Paiement à la livraison,1,1791.6,1791.6,1.0,1.0,,0.13908017610233964,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00069,Aïn Defla,B2C,Électricité,Paiement à la livraison,2,8643.460000000001,4321.7300000000005,4.0,2.0,305.0,0.1002499294691099,Low,Launch a win-back campaign with personalized promotions.
CLT_00070,Sidi Bel Abbès,B2C,Électricité,Paiement à la livraison,1,15819.0,15819.0,10.0,10.0,,0.12423794620802442,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00071,El Bayadh,B2C,Sanitaire,Paiement à la livraison,11,384606.87,34964.26090909091,23.0,2.090909090909091,461.0,0.8228877223392369,High,Maintain loyalty through VIP rewards and exclusive offers.
CLT_00072,Adrar,B2C,Électricité,Paiement à la livraison,17,60889.020000000004,3581.7070588235297,161.0,9.470588235294118,790.0,0.29241714210943215,Low,Launch a win-back campaign with personalized promotions.
CLT_00073,Bouira,B2C,Électroménager,Paiement à la livraison,1,11396.98,11396.98,1.0,1.0,,0.09853787777402181,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00074,Alger,B2C,Sanitaire,Paiement à la livraison,2,21809.25,10904.625,2.0,1.0,1151.0,0.11839845031439554,Low,Launch a win-back campaign with personalized promotions.
CLT_00075,Djelfa,B2C,Sanitaire,Paiement à la livraison,1,29176.26,29176.26,1.0,1.0,,0.0607659684857069,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00076,Boumerdès,B2C,Sanitaire,Paiement à la livraison,1,29176.26,29176.26,1.0,1.0,,0.06442226929600757,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00077,El Bayadh,B2C,Sanitaire,Paiement à la livraison,3,207151.41999999998,69050.47333333333,3.0,1.0,607.0,0.17210908271194264,Low,Launch a win-back campaign with personalized promotions.
CLT_00078,Alger,B2C,Électricité,Espèces - Bureau E-com,3,39802.8,13267.6,3.0,1.0,,0.13494498367775046,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00079,Blida,B2C,Sanitaire,CIB / EDAHABIA,1,106329.22,106329.22,1.0,1.0,,0.017214470386205247,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00080,Jijel,B2C,Sanitaire,Paiement à la livraison,2,6578.34,3289.17,4.0,2.0,454.0,0.10067298177828857,Low,Launch a win-back campaign with personalized promotions.
CLT_00081,Ouled Djellal,B2C,Sanitaire,Paiement à la livraison,2,52353.149999999994,26176.574999999997,3.0,1.5,,0.08981521567054046,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00082,Sétif,B2C,Électricité,Paiement à la livraison,1,1791.6,1791.6,1.0,1.0,426.0,0.08123858248429783,Low,Launch a win-back campaign with personalized promotions.
CLT_00083,Alger,B2C,Menuiserie,Espèces - Bureau E-com,4,98013.99,49006.995,4.0,1.0,,0.14382948026376474,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00084,Biskra,B2C,Sanitaire,Paiement à la livraison,1,27352.74,27352.74,1.0,1.0,,0.0721752670364704,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00085,Ouargla,B2C,Électricité,Paiement à la livraison,1,2831.01,2831.01,1.0,1.0,,0.09262959373721967,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00086,Alger,B2C,Électricité,Paiement à la livraison,4,14208.84,3552.21,18.0,4.5,,0.17928769554373888,Low,Promote bundles or complementary products to increase basket size.
CLT_00087,Sidi Bel Abbès,B2C,Sanitaire,Cash on delivery,1,5124.99,5124.99,1.0,1.0,,0.12624161947936502,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00088,Djelfa,B2C,Sanitaire,Paiement à la livraison,1,4558.79,4558.79,1.0,1.0,604.0,0.0780329081155504,Low,Launch a win-back campaign with personalized promotions.
CLT_00089,Tipaza,B2C,Sanitaire,CIB / EDAHABIA,1,20586.77,20586.77,1.0,1.0,,0.05935774974108648,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00090,Alger,B2C,Pièces de rechange pour S.A.V.,Paiement à la livraison,5,3829.37,765.874,5.0,1.0,646.0,0.2633127984430705,Low,Launch a win-back campaign with personalized promotions.
CLT_00091,Oum El Bouaghi,B2C,Électricité,CIB / EDAHABIA,11,87802.0,7982.0,239.0,21.727272727272727,279.0,0.1792161452952283,Low,Launch a win-back campaign with personalized promotions.
CLT_00092,Boumerdès,B2C,Sanitaire,Paiement à la livraison,1,27352.74,27352.74,1.0,1.0,,0.06565213054437952,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00093,Sétif,B2C,Électricité,Espèces - Bureau E-com,1,4467.61,4467.61,10.0,10.0,,0.05454210768763823,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00094,Tindouf,B2C,Non catégorisé,Paiement à la livraison,9,29590.190000000002,3287.798888888889,88.0,9.777777777777779,1185.0,0.1798212382022335,Low,Launch a win-back campaign with personalized promotions.
CLT_00095,Alger,B2C,Électricité,Espèces - Bureau E-com,1,2831.01,2831.01,1.0,1.0,1061.0,0.09409453945443594,Low,Launch a win-back campaign with personalized promotions.
CLT_00096,Bouira,B2C,Électricité,Paiement à la livraison,1,578.97,578.97,1.0,1.0,,0.09708359730987108,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00097,Khenchela,B2C,Électricité,Paiement à la livraison,1,1581.9,1581.9,1.0,1.0,551.0,0.10564935116458515,Low,Launch a win-back campaign with personalized promotions.
CLT_00098,Tiaret,B2C,Sanitaire,Paiement à la livraison,1,2416.16,2416.16,1.0,1.0,,0.07799546094769486,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00099,Blida,B2C,Sanitaire,Paiement à la livraison,1,58352.51,58352.51,2.0,2.0,,0.041268319356965434,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00100,Alger,B2C,Sanitaire,Paiement à la livraison,3,17447.4,5815.8,3.0,1.0,,0.1485918922261327,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00101,Alger,B2C,Électricité,CIB / EDAHABIA,5,6345.8099999999995,1269.1619999999998,9.0,1.8,853.0,0.134294164753985,Low,Launch a win-back campaign with personalized promotions.
CLT_00102,Sidi Bel Abbès,B2C,Électricité,Paiement à la livraison,4,36825.91,9206.4775,7.0,1.75,,0.20857937566771953,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00103,Laghouat,B2C,Électricité,Paiement à la livraison,6,3665.2599999999998,610.8766666666667,20.0,3.3333333333333335,,0.13820701467632165,Low,Promote bundles or complementary products to increase basket size.
CLT_00104,Jijel,B2C,Non catégorisé,CIB / EDAHABIA,1,93250.05,93250.05,1.0,1.0,1276.0,0.03064915378647025,Low,Launch a win-back campaign with personalized promotions.
CLT_00105,Mascara,B2C,Électricité,Paiement à la livraison,1,2735.27,2735.27,1.0,1.0,,0.1032248015029294,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00106,Chlef,B2C,Électricité,Paiement à la livraison,7,16457.22,2351.031428571429,16.0,2.2857142857142856,,0.17840794014251216,Low,Promote bundles or complementary products to increase basket size.
CLT_00107,Adrar,B2C,Électricité,Paiement à la livraison,12,21641.46,1803.455,26.0,2.1666666666666665,791.0,0.20678948806106448,Low,Launch a win-back campaign with personalized promotions.
CLT_00108,Laghouat,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,306.0,0.0665604102294648,Low,Launch a win-back campaign with personalized promotions.
CLT_00109,Alger,B2C,Sanitaire,Espèces - Bureau E-com,1,3555.86,3555.86,1.0,1.0,66.0,0.09671180241318025,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00110,Oran,B2C,Électricité,Paiement à la livraison,2,3719.0600000000004,1859.5300000000002,6.0,3.0,1304.0,0.10255282317008019,Low,Launch a win-back campaign with personalized promotions.
CLT_00111,Ain Salah,B2C,Électricité,Paiement à la livraison,1,6437.01,6437.01,2.0,2.0,35.0,0.11485389704703938,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00112,Médéa,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,550.0,0.07348361989164723,Low,Launch a win-back campaign with personalized promotions.
CLT_00113,Relizane,B2C,Électricité,Paiement à la livraison,1,5418.58,5418.58,1.0,1.0,972.0,0.08782379891280646,Low,Launch a win-back campaign with personalized promotions.
CLT_00114,Djelfa,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,858.0,0.059365378255514925,Low,Launch a win-back campaign with personalized promotions.
CLT_00115,Sétif,B2C,Sanitaire,Paiement à la livraison,7,68754.76,9822.108571428571,10.0,1.4285714285714286,885.0,0.15520925985795675,Low,Launch a win-back campaign with personalized promotions.
CLT_00116,Alger,B2C,Électricité,Paiement à la livraison,5,206599.8,41319.96,9.0,1.8,397.0,0.4270887493026098,Low,Launch a win-back campaign with personalized promotions.
CLT_00117,Timimoun,B2C,Électricité,Paiement à la livraison,3,24973.05,8324.35,3.0,1.0,127.0,0.14346920946715983,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00118,Constantine,B2C,Sanitaire,Paiement à la livraison,1,140410.73,140410.73,1.0,1.0,,0.019715419864176756,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00119,Alger,B2C,Électricité,Paiement à la livraison,2,2794.5299999999997,1397.2649999999999,2.0,1.0,365.0,0.15751131291519094,Low,Launch a win-back campaign with personalized promotions.
CLT_00120,Batna,B2C,Électricité,Paiement à la livraison,8,63823.049999999996,7977.881249999999,62.0,7.75,336.0,0.22263808896357437,Low,Launch a win-back campaign with personalized promotions.
CLT_00121,Alger,B2C,Électricité,Paiement à la livraison,2,810.5500000000001,405.27500000000003,5.0,2.5,371.0,0.1563814575588579,Low,Launch a win-back campaign with personalized promotions.
CLT_00122,Tlemcen,B2C,Électricité,Paiement à la livraison,20,38543.64,1927.182,122.0,6.1,277.0,0.4410177333278913,Low,Launch a win-back campaign with personalized promotions.
CLT_00123,Tipaza,B2C,Sanitaire,Paiement à la livraison,1,94822.83,94822.83,1.0,1.0,,0.038572312779727544,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00124,Tlemcen,B2C,Sanitaire,Paiement à la livraison,4,25693.34,6423.335,7.0,1.75,,0.14170612414354777,Low,Send personalized recommendations based on the customer's preferred category.
CLT_00125,Alger,B2C,Non catégorisé,Paiement à la livraison,1,3566.8,3566.8,2.0,2.0,1125.0,0.14983210549000275,Low,Launch a win-back campaign with personalized promotions.
CLT_00126,Tissemsilt,B2C,Électricité,Paiement à la livraison,1,2734.36,2734.36,1.0,1.0,,0.09646215230530869,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00127,Tizi Ouzou,B2C,Électricité,Paiement à la livraison,1,4321.73,4321.73,1.0,1.0,,0.1046173412873387,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00128,Khenchela,B2C,Sanitaire,CIB / EDAHABIA,1,3740.29,3740.29,1.0,1.0,854.0,0.060007325223650286,Low,Launch a win-back campaign with personalized promotions.
CLT_00129,Alger,B2C,Sanitaire,Paiement à la livraison,1,738.52,738.52,1.0,1.0,,0.1222049067812031,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00130,Constantine,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,33.0,0.07360299183074896,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00131,Aïn Defla,B2C,Non catégorisé,Paiement à la livraison,2,23321.86,11660.93,2.0,1.0,,0.11552412934129598,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00132,Tizi Ouzou,B2C,Sanitaire,Paiement à la livraison,4,4914.38,1228.595,8.0,2.0,642.0,0.11864676985682343,Low,Launch a win-back campaign with personalized promotions.
CLT_00133,Bouira,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.06432275329418363,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00134,Alger,B2C,Électricité,Paiement à la livraison,3,4444.83,1481.61,6.0,2.0,,0.16392902738361734,Low,Promote bundles or complementary products to increase basket size.
CLT_00135,Alger,B2C,Non catégorisé,Paiement à la livraison,3,10166.099999999999,3388.6999999999994,7.0,2.3333333333333335,,0.19822458497097037,Low,Promote bundles or complementary products to increase basket size.
CLT_00136,Tizi Ouzou,B2C,Électricité,Paiement à la livraison,3,3308.77,1102.9233333333334,10.0,3.3333333333333335,,0.12573995772477803,Low,Promote bundles or complementary products to increase basket size.
CLT_00137,Sidi Bel Abbès,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.09980492412653251,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00138,Bordj Bou Arreridj,B2C,Sanitaire,Paiement à la livraison,1,5000.99,5000.99,1.0,1.0,,0.07229395269762641,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00139,Chlef,B2C,Sanitaire,Paiement à la livraison,1,4978.2,4978.2,1.0,1.0,,0.08785403783074322,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00140,Alger,B2C,Sanitaire,Paiement à la livraison,1,3919.65,3919.65,1.0,1.0,,0.11847009041810307,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00141,Alger,B2C,Sanitaire,Espèces - Bureau E-com,2,13617.11,6808.555,2.0,1.0,,0.09773080339356115,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00142,Blida,B2C,Non catégorisé,Paiement à la livraison,3,12828.44,4276.1466666666665,3.0,1.0,,0.1289261128032802,Low,Promote bundles or complementary products to increase basket size.
CLT_00143,Tébessa,B2C,Électricité,Paiement à la livraison,1,3035.24,3035.24,1.0,1.0,980.0,0.0885009963852325,Low,Launch a win-back campaign with personalized promotions.
CLT_00144,Constantine,B2C,Électricité,Paiement à la livraison,1,3282.33,3282.33,10.0,10.0,,0.094767835087581,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00145,Annaba,B2C,Électricité,Paiement à la livraison,1,13566.96,13566.96,24.0,24.0,63.0,0.10008436314398073,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00146,Béchar,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,,0.07569969084174748,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00147,Alger,B2C,Sanitaire,CIB / EDAHABIA,4,148209.19,37052.2975,12.0,3.0,394.0,0.1983438866784681,Low,Launch a win-back campaign with personalized promotions.
CLT_00148,M'Sila,B2C,Sanitaire,Paiement à la livraison,1,2092.48,2092.48,1.0,1.0,400.0,0.09175880669563247,Low,Launch a win-back campaign with personalized promotions.
CLT_00149,M'Sila,B2C,Sanitaire,Paiement à la livraison,5,2712.4700000000003,542.494,5.0,1.0,,0.12441910758034479,Low,Promote bundles or complementary products to increase basket size.
CLT_00150,Alger,B2C,Sanitaire,Paiement à la livraison,1,26440.98,26440.98,1.0,1.0,95.0,0.10344755167083851,Low,Offer a second-purchase discount to encourage repeat buying.
CLT_00151,Skikda,B2C,Sanitaire,Paiement à la livraison,3,14943.72,4981.24,3.0,1.0,,0.10344056028700334,Low,Promote bundles or complementary products to increase basket size.
CLT_00152,Annaba,B2C,Électricité,Paiement à la livraison,1,4321.73,4321.73,1.0,1.0,308.0,0.11289301575090416,Low,Launch a win-back campaign with personalized promotions.
CLT_00153,Ouargla,B2C,Électricité,Paiement à la livraison,1,3476.53,3476.53,3.0,3.0,,0.09144146061613659,Low,Offer a second-purchase discount to encourage repeat buying.
