id_transaction,id_commande_anon,id_client,type_client,nouveau_ou_fidele,date_commande,wilaya,categorie_produit,produit,quantite,montant_da,moyen_paiement,statut_commande,produit_key
717,15930,CLT_03080,B2C,Returning,2023-12-14,Tipaza,Électricité,Moniteur 2 fils 7 pouces avec WIFI VFE10-W,1.0,18508.69,Paiement à la livraison,Retour NOEST,Moniteur 2 fils
723,17577,CLT_01551,B2C,New,2024-06-01,Chlef,Électricité,Auto eclairage DIAA Acrylique - Doré,15.0,14496.95,Paiement à la livraison,En livraison par NOEST,Auto eclairage
728,15688,CLT_01093,B2C,New,2023-11-26,Tlemcen,Électricité,Lampe Led Sphérique – 7 à 20 Watt (lumière blanche) - 9 watt,3.0,341.91,Paiement à la livraison,Partiellement remboursée,Lampe Led Sphér
752,14647,CLT_01426,B2C,New,2023-08-02,Ain Salah,Électricité,Interrupteur double allumage Acrylique - Noir,1.0,351.03,Paiement à la livraison,Retour NOEST,Interrupteur do
767,14732,CLT_00388,B2C,New,2023-08-12,Mostaganem,Électricité,Interrupteur Simple Allumage DIAA Glass,1.0,437.64,Paiement à la livraison,Retour NOEST,Interrupteur Si
781,17528,CLT_03155,B2C,Returning,2024-05-24,Tlemcen,Électricité,Interrupteur va et vient double Acrylique - Doré,10.0,3510.27,Paiement à la livraison,En livraison par NOEST,Interrupteur va
814,16811,CLT_01620,B2C,Returning,2024-03-04,Alger,Électricité,Contacteur Électromagnétique ENC1 400V - 32A,1.0,2609.09,CIB / EDAHABIA,Remboursée,Contacteur Élec
830,17731,CLT_03973,B2C,New,2024-06-20,Constantine,Sanitaire,Colonne de douche A007,1.0,13630.78,Paiement à la livraison,En livraison par NOEST,Colonne de douc
833,14611,CLT_01383,B2C,New,2023-07-27,Sétif,Électricité,Prise simple NOOR,25.0,3874.97,Paiement à la livraison,Retour NOEST,Prise simple NO
834,15554,CLT_01145,B2C,New,2023-11-15,Béjaïa,Non catégorisé,Sèche-serviettes barres rondes 80 cm - Blanc,3.0,24343.94,Paiement à la livraison,Retour NOEST,Sèche-serviette
854,17523,CLT_03771,B2C,Returning,2024-05-24,Constantine,Sanitaire,Ventilateur 8W pour chauffe-eau à T° const WCT 12L,2.0,2361.45,Paiement à la livraison,En livraison par NOEST,Ventilateur 8W
903,17628,CLT_01241,B2C,New,2024-06-09,Laghouat,Menuiserie,"PORTE VITREE 1/1 EN PVC NID ABEILLE 830mm AVEC CADRE EN WPC - Patinato, Lilas",1.0,28592.73,CIB / EDAHABIA,Attente paiement,PORTE VITREE 1/
964,17509,CLT_03080,B2C,Unknown,2024-05-21,Alger,Non catégorisé,,,,,Attente paiement,
1023,15192,CLT_03673,B2C,Returning,2023-10-07,Tlemcen,Sanitaire,Chaudière SL-DM24,1.0,94822.83,Paiement à la livraison,Retour NOEST,Chaudière SL-DM
1108,17673,CLT_03941,B2C,Returning,2024-06-13,Annaba,Pièces de rechange pour S.A.V.,Capteur Holl,2.0,1932.93,Paiement à la livraison,En livraison par NOEST,Capteur Holl
1127,17643,CLT_03673,B2C,Returning,2024-06-10,Chlef,Hydraulique,Pompe de surface type VORTEX VM75,1.0,9482.28,Paiement à la livraison,En livraison par NOEST,Pompe de surfac
1144,17588,CLT_00001,B2C,New,2024-06-02,Béjaïa,Électricité,Disjoncteur bipolaire ECB3.BP.16,3.0,1258.23,Paiement à la livraison,En livraison par NOEST,Disjoncteur bip
1148,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Disjoncteur unipolaire ECB3.UN.32,5.0,1094.11,Paiement à la livraison,En livraison par NOEST,Disjoncteur uni
1156,16623,CLT_03762,B2C,Returning,2024-02-10,Tiaret,Sanitaire,Ventilateur 8W pour chauffe-eau à T° const WCT 12L,1.0,1180.73,Paiement à la livraison,Retour NOEST,Ventilateur 8W
1162,17681,CLT_03974,B2C,New,2024-06-14,Tizi Ouzou,Électricité,Transformateur DC 15V/1A,8.0,6674.07,Paiement à la livraison,En livraison par NOEST,Transformateur
1167,15011,CLT_01740,B2C,New,2023-09-17,Mostaganem,Électricité,Interrupteur simple allumage DIAA Métal,4.0,2024.1,Paiement à la livraison,Partiellement remboursée,Interrupteur si
1183,15899,CLT_00054,B2C,New,2023-12-11,Oran,Électricité,Prise de protection réglable,10.0,11579.33,Paiement à la livraison,Retour NOEST,Prise de protec
1185,17738,CLT_03797,B2C,Returning,2024-06-21,Annaba,Sanitaire,Bloc de gaz,1.0,6318.48,Paiement à la livraison,En livraison par NOEST,Bloc de gaz
1201,17598,CLT_03964,B2C,New,2024-06-03,Jijel,Sanitaire,"Filtre à gaz pour chaudière à connexion G3/4""M - G3/4""F",1.0,1458.81,Paiement à la livraison,En livraison par NOEST,Filtre à gaz po
1215,17675,CLT_01091,B2C,New,2024-06-13,Alger,Électricité,Interrupteur Simple Allumage DIAA Glass,5.0,2188.22,Paiement à la livraison,En livraison par NOEST,Interrupteur Si
1238,17713,CLT_03673,B2C,Returning,2024-06-18,Blida,Électricité,Moniteur 4 fils 4.3 pouces VFE06,4.0,32057.41,Paiement à la livraison,En livraison par NOEST,Moniteur 4 fils
1248,17584,CLT_03780,B2C,Returning,2024-06-02,Tlemcen,Pièces de rechange pour S.A.V.,Capteur Holl,2.0,1285.58,Paiement à la livraison,En livraison par NOEST,Capteur Holl
1260,17590,CLT_03701,B2C,Returning,2024-06-02,Alger,Sanitaire,Panneau de commande avec boutons de contrôle M,1.0,4020.85,Paiement à la livraison,En livraison par NOEST,Panneau de comm
1261,16836,CLT_01177,B2C,New,2024-03-08,Tizi Ouzou,Électricité,Spot 3D LED - 18 watt,38.0,14724.89,Paiement à la livraison,Retour NOEST,Spot 3D LED - 1
1324,12814,CLT_01569,B2C,New,2022-12-18,Tipaza,Sanitaire,Chaudière SL-DM24,1.0,94822.83,Paiement à la livraison,Retour NOEST,Chaudière SL-DM
1334,13958,CLT_03298,B2C,Returning,2023-05-03,Annaba,Sanitaire,Mitigeur Amen Lavabo Noir,1.0,4102.91,Paiement à la livraison,Retour NOEST,Mitigeur Amen L
1349,14013,CLT_01782,B2C,New,2023-05-09,Bordj Bou Arreridj,Électricité,Prise satellite Acrylique DIAA - Noir,1.0,446.76,Paiement à la livraison,Retour NOEST,Prise satellite
1370,17468,CLT_00666,B2C,New,2024-05-18,Béchar,Électricité,Horloge programmable numérique (HPN2),2.0,5470.55,Paiement à la livraison,Retour NOEST,Horloge program
1373,15831,CLT_03776,B2C,Returning,2023-12-07,Blida,Pièces de rechange pour S.A.V.,Pompe Grundfos 76 w,1.0,10530.8,Paiement à la livraison,Partiellement remboursée,Pompe Grundfos
1374,14500,CLT_03606,B2C,Returning,2023-07-13,Blida,Électricité,Prise simple DIAA Glass,4.0,1750.58,Paiement à la livraison,Retour NOEST,Prise simple DI
1390,17572,CLT_00200,B2C,New,2024-06-01,El Bayadh,Électricité,Spot 3D LED ( 3 couleurs ) - 36 watt,19.0,16630.47,Paiement à la livraison,En livraison par NOEST,Spot 3D LED ( 3
1432,17673,CLT_03941,B2C,Returning,2024-06-13,Annaba,Sanitaire,Thermocontact gaz brulé 160°,2.0,264.41,Paiement à la livraison,En livraison par NOEST,Thermocontact g
1460,15862,CLT_00053,B2C,New,2023-12-09,Boumerdès,Sanitaire,Chaudière SL-DM24,1.0,92999.32,Paiement à la livraison,Retour NOEST,Chaudière SL-DM
1465,17139,CLT_03080,B2C,Returning,2024-04-11,Sidi Bel Abbès,Menuiserie,"PORTE VITREE 1/3 EN WPC 730mm AVEC CADRE EN WPC - Gris Nardo, Zecar",4.0,102945.76,Paiement à la livraison,Partiellement payé,PORTE VITREE 1/
1475,17567,CLT_00904,B2C,New,2024-05-31,Oran,Sanitaire,Kit complet partie eau 10L,1.0,3920.56,Paiement à la livraison,En livraison par NOEST,Kit complet par
1496,17708,CLT_01572,B2C,New,2024-06-17,Sétif,Sanitaire,Bobine DC 24V pour chauffe-eau à T° const,1.0,492.35,Paiement à la livraison,En livraison par NOEST,Bobine DC 24V p
1498,16480,CLT_03276,B2C,Returning,2024-01-29,Alger,Électricité,Prise satellite NOOR,1.0,196.03,Paiement à la livraison,Retour NOEST,Prise satellite
1515,13706,CLT_02381,B2C,New,2023-04-03,Khenchela,Électricité,Spot 3D LED - 10 watt,10.0,2963.21,Paiement à la livraison,Retour NOEST,Spot 3D LED - 1
1525,17331,CLT_03870,B2C,Returning,2024-05-03,Skikda,Électricité,Protecteur de tension et courant réglable triphasé domestique PTDR4-D 63A,1.0,4321.73,Paiement à la livraison,Retour NOEST,Protecteur de t
1537,17356,CLT_02670,B2C,New,2024-05-05,Sidi Bel Abbès,Électricité,Horloge programmable numérique (HPN2),1.0,2735.27,Paiement à la livraison,Retour NOEST,Horloge program
1539,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Interrupteur va et vient double Acrylique - Doré,2.0,702.05,Paiement à la livraison,En livraison par NOEST,Interrupteur va
1549,17381,CLT_03944,B2C,New,2024-05-09,Bouira,Électricité,Protecteur de tension et courant réglable PTDR3.40A,1.0,1791.6,Paiement à la livraison,Partiellement remboursée,Protecteur de t
1589,17607,CLT_00434,B2C,Returning,2024-06-04,Tlemcen,Non catégorisé,Moniteur 4 fils 7 pouces VFE03 - Noir,1.0,15312.98,Paiement à la livraison,Retour NOEST,Moniteur 4 fils
1594,17740,CLT_03945,B2C,Returning,2024-06-21,M'Sila,Électricité,Moniteur 4 fils noir 7 pouces VFE04,1.0,24731.44,Paiement à la livraison,En livraison par NOEST,Moniteur 4 fils
1601,17627,CLT_03701,B2C,Returning,2024-06-09,Alger,Sanitaire,Panneau de verre pour chauffe-eau à T° const - Blanc,1.0,2393.36,Paiement à la livraison,En livraison par NOEST,Panneau de verr
1634,13012,CLT_02939,B2C,New,2023-01-08,Alger,Électricité,Prise Satellite Acrylique DIAA - Doré,1.0,444.94,Paiement à la livraison,Retour NOEST,Prise Satellite
1644,17722,CLT_04048,B2C,Returning,2024-06-20,Tiaret,Électricité,Sonnette 2 fils avec lecteur RFID VFE09-C,1.0,13544.17,Paiement à la livraison,En livraison par NOEST,Sonnette 2 fils
1660,13207,CLT_01124,B2C,Returning,2023-01-27,Mostaganem,Électricité,Interrupteur différentiel sensible 30mA IDE2.2P63,3.0,5853.49,Paiement à la livraison,Retour NOEST,Interrupteur di
1742,13660,CLT_03545,B2C,New,2023-03-22,Béjaïa,Électricité,Protecteur de tension et courant réglable triphasé domestique PTDR4-D 63A,1.0,4321.73,Paiement à la livraison,Retour NOEST,Protecteur de t
1744,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Prise simple DIAA Acrylique - Doré,3.0,1053.08,Paiement à la livraison,En livraison par NOEST,Prise simple DI
1772,17438,CLT_03949,B2C,New,2024-05-14,Alger,Électricité,Interrupteur va et vient Acrylique - Noir,2.0,702.05,Paiement à la livraison,Retour NOEST,Interrupteur va
1778,17607,CLT_00434,B2C,Returning,2024-06-04,Tlemcen,Électricité,Serrure électrique grise,1.0,5652.9,Paiement à la livraison,Retour NOEST,Serrure électri
1783,17688,CLT_03972,B2C,New,2024-06-14,Béjaïa,Sanitaire,Robinet à compression 16×16,1.0,738.52,Paiement à la livraison,En livraison par NOEST,Robinet à compr
1796,17640,CLT_00002,B2C,New,2024-06-10,Béjaïa,Électricité,Sonnette 4 fils avec lecteur RFID VFE01-C,1.0,11305.8,Paiement à la livraison,En livraison par NOEST,Sonnette 4 fils
1805,12420,CLT_02618,B2C,New,2022-11-06,Constantine,Sanitaire,Générateur électrique (Chauffe-eau),1.0,1321.14,Paiement à la livraison,Retour NOEST,Générateur élec
1879,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Prise satellite Acrylique DIAA - Doré,2.0,893.52,Paiement à la livraison,En livraison par NOEST,Prise satellite
1924,17708,CLT_01572,B2C,New,2024-06-17,Sétif,Sanitaire,Bloc de gaz pour chauffe-eau à T° const,1.0,1586.46,Paiement à la livraison,En livraison par NOEST,Bloc de gaz pou
1946,14385,CLT_01201,B2C,New,2023-06-25,Batna,Sanitaire,Chaudière SL-DL36,1.0,140410.73,Paiement à la livraison,Retour NOEST,Chaudière SL-DL
1959,12799,CLT_03080,B2C,Returning,2022-12-17,Sétif,Électricité,Carte de contrôle électronique,1.0,0.0,Paiement à la livraison,Retour NOEST,Carte de contrô
1965,17566,CLT_00875,B2C,New,2024-05-31,Médéa,Sanitaire,Distributeur 2 voies,1.0,1422.34,Paiement à la livraison,En livraison par NOEST,Distributeur 2
1975,17720,CLT_03978,B2C,New,2024-06-20,Alger,Électricité,Prise de protection réglable,6.0,6373.19,Paiement à la livraison,En livraison par NOEST,Prise de protec
2039,14876,CLT_03672,B2C,New,2023-08-31,Alger,Électricité,Interrupteur simple NOOR,10.0,1549.99,Paiement à la livraison,Retour NOEST,Interrupteur si
2045,12514,CLT_00651,B2C,New,2022-11-18,Alger,Sanitaire,Chaudière SL-DM18,1.0,80234.7,Paiement à la livraison,Retour NOEST,Chaudière SL-DM
2046,17548,CLT_01086,B2C,Returning,2024-05-29,Tlemcen,Électricité,Bouton poussoir Adenium,6.0,1066.76,Paiement à la livraison,En livraison par NOEST,Bouton poussoir
2094,14448,CLT_01700,B2C,New,2023-07-04,Blida,Électricité,Interrupteur différentiel sensible 30mA IDE2.2P40,2.0,3902.32,Paiement à la livraison,Retour NOEST,Interrupteur di
2103,17642,CLT_03812,B2C,Returning,2024-06-10,Mila,Sanitaire,Capteur de température ECS pour chauffe-eau à T° const,5.0,478.67,Paiement à la livraison,En livraison par NOEST,Capteur de temp
2127,14913,CLT_03676,B2C,New,2023-09-08,Tizi Ouzou,Électricité,Interrupteur va et vient double DIAA Glass,2.0,875.29,Paiement à la livraison,Partiellement remboursée,Interrupteur va
2158,12387,CLT_01697,B2C,Unknown,2022-11-09,Laghouat,Non catégorisé,,,,Versement CCP,Remboursée,
2181,17530,CLT_02235,B2C,New,2024-05-24,Alger,Sanitaire,Mitigeur cuisine murale Razy,1.0,7635.97,Paiement à la livraison,En livraison par NOEST,Mitigeur cuisin
2189,13678,CLT_01420,B2C,New,2023-03-26,Alger,Sanitaire,Mitigeur Bidet Tulip,2.0,10248.16,Paiement à la livraison,Retour NOEST,Mitigeur Bidet
2203,13914,CLT_01766,B2C,New,2023-04-28,Alger,Sanitaire,Mitigeur Bidet Razy,1.0,5452.31,Paiement à la livraison,Retour NOEST,Mitigeur Bidet
2239,15089,CLT_02202,B2C,New,2023-09-25,Blida,Pièces de rechange pour S.A.V.,Pressostat,3.0,2776.3,Paiement à la livraison,Retour NOEST,Pressostat
2286,17690,CLT_00820,B2C,Returning,2024-06-15,Jijel,Électricité,Disjoncteur ECB5 DPN.1P+N.40,16.0,7367.0,Virement / Versement  bancaire,En livraison par NOEST,Disjoncteur ECB
2302,15040,CLT_00546,B2C,New,2023-09-21,Alger,Électricité,Interrupteur va et vient double Acrylique - Doré,1.0,351.03,Paiement à la livraison,Retour NOEST,Interrupteur va
2314,13085,CLT_02887,B2C,Returning,2023-01-15,Tizi Ouzou,Électricité,Bouton poussoir NOOR,9.0,1427.81,Paiement à la livraison,Retour NOEST,Bouton poussoir
2351,17626,CLT_03673,B2C,Returning,2024-06-09,Alger,Électricité,Disjoncteur unipolaire ECB3.UN.16,250.0,44574.48,Paiement par chèque,En attente,Disjoncteur uni
2364,16260,CLT_02177,B2C,New,2024-01-12,Aïn Defla,Électricité,Pack Visiophone Complet 472-C,1.0,-4308.06,Paiement à la livraison,Retour NOEST,Pack Visiophone
2399,17669,CLT_03494,B2C,Returning,2024-06-13,Ouled Djellal,Électricité,Contacteur Électromagnétique ENC1 400V - 80A,2.0,14724.89,Paiement à la livraison,En livraison par NOEST,Contacteur Élec
2406,17741,CLT_02499,B2C,New,2024-06-21,Sidi Bel Abbès,Électricité,Protecteur de tension et courant réglable PTDR3.40A,3.0,5374.81,Paiement à la livraison,En livraison par NOEST,Protecteur de t
2423,15511,CLT_01574,B2C,New,2023-11-10,Oran,Sanitaire,Mitigeur Bain douche Fly Noir,1.0,9578.02,Paiement à la livraison,Partiellement remboursée,Mitigeur Bain d
2446,17642,CLT_03812,B2C,Returning,2024-06-10,Mila,Sanitaire,Thermocontact 80°C pour chauffe-eau à T° const,1.0,50.15,Paiement à la livraison,En livraison par NOEST,Thermocontact 8
2447,13137,CLT_02115,B2C,New,2023-01-21,Batna,Sanitaire,Mitigeur Lavabo Fly Noir,1.0,5671.13,Paiement à la livraison,Retour NOEST,Mitigeur Lavabo
2465,14981,CLT_00985,B2C,New,2023-09-15,Ouled Djellal,Sanitaire,Echangeur 6L,1.0,7321.42,Paiement à la livraison,Partiellement remboursée,Echangeur 6L
2476,14190,CLT_02026,B2C,New,2023-05-28,Saïda,Électricité,Protecteur de tension et courant réglable PTDR3.40A,1.0,1791.6,Paiement à la livraison,Retour NOEST,Protecteur de t
2477,15354,CLT_01394,B2C,Returning,2023-10-25,Mila,Sanitaire,Bloc de gaz,1.0,6774.36,Paiement à la livraison,Partiellement remboursée,Bloc de gaz
2481,17648,CLT_03673,B2C,Returning,2024-06-10,Sétif,Sanitaire,Echangeur 10L,1.0,10485.22,Paiement à la livraison,En livraison par NOEST,Echangeur 10L
2499,17577,CLT_01551,B2C,New,2024-06-01,Chlef,Électricité,Protecteur de tension et courant réglable PTDR3.40A,1.0,1791.6,Paiement à la livraison,En livraison par NOEST,Protecteur de t
2501,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Bouton poussoir DIAA Acrylique - Noir,1.0,351.03,Paiement à la livraison,En livraison par NOEST,Bouton poussoir
2505,17545,CLT_03342,B2C,Returning,2024-05-27,Chlef,Électricité,Spot 3D LED ( 3 couleurs ) - 18 watt,3.0,1230.87,Paiement à la livraison,En livraison par NOEST,Spot 3D LED ( 3
2518,17734,CLT_01681,B2C,Returning,2024-06-20,Skikda,Électricité,Interrupteur va et vient NOOR,2.0,319.12,Paiement à la livraison,En livraison par NOEST,Interrupteur va
2535,17619,CLT_01764,B2C,New,2024-06-06,Naâma,Électricité,Protecteur de tension et courant réglable triphasé domestique PTDR4-D 63A,1.0,4321.73,Paiement à la livraison,En livraison par NOEST,Protecteur de t
2564,12638,CLT_01101,B2C,Returning,2022-12-02,El Bayadh,Électricité,Détecteur de Mouvement DIAA Acrylique - Noir,4.0,3555.86,Paiement à la livraison,Retour NOEST,Détecteur de Mo
2566,17721,CLT_00035,B2C,Returning,2024-06-20,Tlemcen,Électricité,Prise de protection réglable,20.0,21243.96,Paiement à la livraison,En livraison par NOEST,Prise de protec
2595,17739,CLT_02792,B2C,Returning,2024-06-21,Mila,Électricité,Disjoncteur bipolaire ECB3.BP.20,15.0,6291.13,Paiement à la livraison,En livraison par NOEST,Disjoncteur bip
2599,15964,CLT_03080,B2C,Returning,2023-12-16,Guelma,Non catégorisé,Echangeur de chaleur principal - 28 KW,1.0,22547.78,Paiement à la livraison,Retour NOEST,Echangeur de ch
2679,17531,CLT_00003,B2C,New,2024-05-24,Touggourt,Non catégorisé,Moniteur 4 fils 7 pouces VFE03 - Blanc,2.0,30625.95,Paiement à la livraison,En livraison par NOEST,Moniteur 4 fils
2723,17710,CLT_03977,B2C,New,2024-06-18,Blida,Sanitaire,Panneau de verre pour chauffe-eau à T° const - Gris,1.0,3592.33,Paiement à la livraison,En livraison par NOEST,Panneau de verr
2766,17660,CLT_03914,B2C,Returning,2024-06-11,Boumerdès,Sanitaire,Robinet avec filtre et soupape de décharge pour chauffe-eau à T° const,1.0,939.11,Paiement à la livraison,En livraison par NOEST,Robinet avec fi
2777,17647,CLT_03777,B2C,Returning,2024-06-10,Bouira,Sanitaire,Echangeur pour chauffe-eau à T° const WCT 12L,1.0,7563.03,Paiement à la livraison,En livraison par NOEST,Echangeur pour
2779,17557,CLT_02609,B2C,Returning,2024-05-31,Aïn Defla,Électricité,Protecteur de tension et courant réglable triphasé domestique PTDR4-D 63A,1.0,4321.73,Paiement à la livraison,En livraison par NOEST,Protecteur de t
2785,17673,CLT_03941,B2C,Returning,2024-06-13,Annaba,Sanitaire,Capteur de pression d’eau,2.0,1094.11,Paiement à la livraison,En livraison par NOEST,Capteur de pres
2843,17521,CLT_01847,B2C,Returning,2024-05-24,Béchar,Électricité,Disjoncteur unipolaire ECB3.UN.25,5.0,1048.52,Paiement à la livraison,En livraison par NOEST,Disjoncteur uni
2873,17139,CLT_03080,B2C,Returning,2024-04-11,Sidi Bel Abbès,Menuiserie,Poignée de Porte Intérieur Victoria à Condamnation - Avec la porte,6.0,0.0,Paiement à la livraison,Partiellement payé,Poignée de Port
2886,13085,CLT_02887,B2C,Returning,2023-01-15,Tizi Ouzou,Électricité,Prise avec terre NOOR,36.0,5908.19,Paiement à la livraison,Retour NOEST,Prise avec terr
2893,17675,CLT_01091,B2C,New,2024-06-13,Alger,Électricité,Prise simple DIAA Acrylique - Doré,9.0,3159.24,Paiement à la livraison,En livraison par NOEST,Prise simple DI
2912,17555,CLT_02759,B2C,New,2024-05-30,Tizi Ouzou,Sanitaire,Mitigeur Disa,1.0,7088.92,Paiement à la livraison,En livraison par NOEST,Mitigeur Disa
2939,17673,CLT_03941,B2C,Returning,2024-06-13,Annaba,Pièces de rechange pour S.A.V.,Soupape de décharge,2.0,1531.75,Paiement à la livraison,En livraison par NOEST,Soupape de déch
2952,16480,CLT_03276,B2C,Returning,2024-01-29,Alger,Électricité,Cadre appareillage externe doublé NOOR,4.0,72.94,Paiement à la livraison,Retour NOEST,Cadre appareill
